Date,Close,High,Low,Open,Volume
2014-01-02,148.19851684570312,149.1302337321919,147.8420347230395,149.0573079435391,119636900
2014-01-03,148.17416381835938,148.74939839369858,147.9635209796238,148.4496226911046,81390600
2014-01-06,147.74478149414062,148.71699736559427,147.51793153621463,148.66029105731053,108028200
2014-01-07,148.65219116210938,148.90334560626084,148.2227956874511,148.3362206739194,86144200
2014-01-08,148.6845703125,148.9357246974411,148.17415181252719,148.62785165143927,96582300
2014-01-09,148.78175354003906,149.1787469878691,148.10120394009377,149.16253989385405,90683400
2014-01-10,149.18690490722656,149.2517209472044,148.27139534083344,149.03296835757862,102026400
2014-01-13,147.201904296875,149.2192486705635,146.91833577763495,148.80606048421072,149892000
2014-01-14,148.8060760498047,148.88709916731733,147.41256249285306,147.68802131256876,105016100
2014-01-15,149.608154296875,149.83500418177283,148.83848416151508,149.15445452707934,98525800
2014-01-16,149.4137725830078,149.60822072599845,148.93576813918583,149.30034759019586,72290600
2014-01-17,148.78175354003906,149.43799868015705,148.5225018477511,149.15444252804178,107848700
2014-01-21,149.21925354003906,149.69727011913346,148.3037566624733,149.64055146847826,88621200
2014-01-22,149.3164825439453,149.53523505381034,149.0005121907585,149.4704190374655,61270900
2014-01-23,148.09312438964844,148.58733577749584,147.30725942444167,148.56303131271588,132496900
2014-01-24,144.93344116210938,147.17764851082234,144.88483222556744,147.12903957428043,208677100
2014-01-27,144.22048950195312,145.44387220107907,143.4994280357858,145.0711830516192,180843100
2014-01-28,145.0792694091797,145.26560777269015,144.3095867639093,144.32579386233442,110463200
2014-01-29,143.68577575683594,144.65799163774983,143.3049892460987,143.87211414643215,216597300
2014-01-30,145.20887756347656,145.67878448129093,144.423000244662,144.88480979510462,118938100
2014-01-31,144.35821533203125,145.2575177998419,143.3373905154876,143.4103039247274,194677900
2014-02-03,141.10939025878906,144.51215201274135,140.83393135981478,144.18808417422994,254837100
2014-02-04,142.09780883789062,142.4623882355272,141.0607769518868,141.7413268091277,165012400
2014-02-05,141.91957092285156,142.2355413893563,140.73671219691906,141.6036004563468,164230500
2014-02-06,143.7910919189453,143.7910919189453,141.96008512555076,142.25175112791763,132877600
2014-02-07,145.57351684570312,145.72745342591375,143.99366419006427,144.46357130140265,170787200
2014-02-10,145.8408660888672,145.88948739618692,145.19273034003433,145.58971163183492,92218800
2014-02-11,147.43687438964844,147.80956344164937,145.86511978483205,145.96235000322815,117814100
2014-02-12,147.50985717773438,148.12559110781325,147.21819113456073,147.65568401812249,94717700
2014-02-13,148.2713623046875,148.42529882003706,146.50517196779717,146.5132693350919,100542200
2014-02-14,149.08969116210938,149.3651500678559,147.9959405460508,148.13366999892406,96498400
2014-02-18,149.2679443359375,149.47048984707172,148.7899275342391,149.21932302885187,80460900
2014-02-19,148.27952575683594,149.8431712163398,148.15799102902545,148.8790525760708,126524300
2014-02-20,149.1544647216797,149.49473957228398,147.93919209992475,148.4820123874882,104998100
2014-02-21,148.98435974121094,149.7945416990972,148.91144633197612,149.43805965964395,118116400
2014-02-24,149.81069946289062,150.81531684788794,149.23546502277804,149.3002810415507,114063900
2014-02-25,149.7539825439453,150.36161881928177,149.259771212176,149.93222350703533,117085000
